group	fill	colour	clickSelects
2	#FFFFFF	#D3D3D3	576
3	#FFFFFF	#D3D3D3	107
4	#FFFFFF	#D3D3D3	520
5	#FFFFFF	#D3D3D3	520
6	#FFFFFF	#D3D3D3	284
7	#FFFFFF	#D3D3D3	284
8	#FFFFFF	#D3D3D3	7
9	#FFFFFF	#D3D3D3	7
10	#FFFFFF	#D3D3D3	7
11	#FFFFFF	#D3D3D3	7
12	#FFFFFF	#D3D3D3	7
13	#FFFFFF	#D3D3D3	7
14	#FFFFFF	#D3D3D3	107
15	#FFFFFF	#D3D3D3	7
16	#FFFFFF	#D3D3D3	7
17	#FFFFFF	#D3D3D3	7
18	#FFFFFF	#D3D3D3	7
19	#FFFFFF	#D3D3D3	7
20	#FFFFFF	#D3D3D3	7
21	#FFFFFF	#D3D3D3	7
22	#FFFFFF	#D3D3D3	7
23	#FFFFFF	#D3D3D3	7
24	#FFFFFF	#D3D3D3	7
25	#FFFFFF	#D3D3D3	520
26	#FFFFFF	#D3D3D3	157
27	#FFFFFF	#D3D3D3	157
28	#FFFFFF	#D3D3D3	157
29	#FFFFFF	#D3D3D3	157
30	#FFFFFF	#D3D3D3	157
31	#FFFFFF	#D3D3D3	157
32	#FFFFFF	#D3D3D3	157
33	#FFFFFF	#D3D3D3	157
34	#FFFFFF	#D3D3D3	157
35	#FFFFFF	#D3D3D3	157
36	#FFFFFF	#D3D3D3	520
37	#FFFFFF	#D3D3D3	157
38	#FFFFFF	#D3D3D3	157
39	#FFFFFF	#D3D3D3	157
40	#FFFFFF	#D3D3D3	157
41	#FFFFFF	#D3D3D3	157
42	#FFFFFF	#D3D3D3	157
46	#FFFFFF	#D3D3D3	520
47	#FFFFFF	#D3D3D3	520
48	#FFFFFF	#D3D3D3	520
49	#FFFFFF	#D3D3D3	520
50	#FFFFFF	#D3D3D3	520
52	#FFFFFF	#D3D3D3	576
53	#FFFFFF	#D3D3D3	576
54	#FFFFFF	#D3D3D3	520
55	#FFFFFF	#D3D3D3	284
56	#FFFFFF	#D3D3D3	284
57	#FFFFFF	#D3D3D3	284
58	#FFFFFF	#D3D3D3	7
59	#FFFFFF	#D3D3D3	7
60	#FFFFFF	#D3D3D3	7
61	#FFFFFF	#D3D3D3	7
62	#FFFFFF	#D3D3D3	7
63	#FFFFFF	#D3D3D3	7
64	#FFFFFF	#D3D3D3	107
65	#FFFFFF	#D3D3D3	7
66	#FFFFFF	#D3D3D3	7
67	#FFFFFF	#D3D3D3	7
68	#FFFFFF	#D3D3D3	7
69	#FFFFFF	#D3D3D3	7
70	#FFFFFF	#D3D3D3	7
71	#FFFFFF	#D3D3D3	7
72	#FFFFFF	#D3D3D3	7
73	#FFFFFF	#D3D3D3	7
74	#FFFFFF	#D3D3D3	7
75	#FFFFFF	#D3D3D3	107
76	#FFFFFF	#D3D3D3	7
77	#FFFFFF	#D3D3D3	157
78	#FFFFFF	#D3D3D3	157
79	#FFFFFF	#D3D3D3	157
80	#FFFFFF	#D3D3D3	157
81	#FFFFFF	#D3D3D3	157
