group	fill	clickSelects
1	#FFFFFF	608
2	#FFFFFF	608
3	#FFFFFF	608
4	#FFFFFF	169
5	#FFFFFF	169
6	#FFFFFF	169
7	#FFFFFF	110
8	#FFFFFF	110
9	#FFFFFF	110
10	#FFFFFF	110
11	#FFFFFF	110
12	#FFFFFF	110
13	#FFFFFF	110
14	#FFFFFF	608
15	#FFFFFF	110
16	#FFFFFF	110
17	#FFFFFF	110
18	#FFFFFF	110
19	#FFFFFF	110
20	#FFFFFF	110
21	#FFFFFF	110
22	#FFFFFF	110
23	#FFFFFF	110
24	#FFFFFF	110
25	#FFFFFF	608
26	#FFFFFF	110
27	#FFFFFF	110
28	#FFFFFF	110
29	#FFFFFF	110
30	#FFFFFF	110
31	#FFFFFF	110
32	#FFFFFF	536
33	#FFFFFF	536
34	#FFFFFF	536
35	#FFFFFF	536
36	#FFFFFF	608
37	#FFFFFF	536
38	#FFFFFF	536
39	#FFFFFF	536
40	#FFFFFF	110
41	#FFFFFF	536
42	#FFFFFF	110
43	#FFFFFF	110
44	#FFFFFF	110
45	#FFFFFF	169
46	#FFFFFF	608
47	#FFFFFF	608
48	#FFFFFF	169
49	#FFFFFF	169
50	#FFFFFF	169
52	#FFFFFF	608
53	#FFFFFF	608
54	#FFFFFF	169
55	#FFFFFF	169
56	#FFFFFF	169
57	#FFFFFF	169
58	#FFFFFF	110
59	#FFFFFF	110
60	#FFFFFF	110
61	#FFFFFF	110
62	#FFFFFF	110
63	#FFFFFF	110
64	#FFFFFF	608
65	#FFFFFF	110
66	#FFFFFF	110
67	#FFFFFF	110
68	#FFFFFF	110
69	#FFFFFF	110
70	#FFFFFF	110
71	#FFFFFF	110
72	#FFFFFF	110
73	#FFFFFF	110
74	#FFFFFF	110
75	#FFFFFF	608
76	#FFFFFF	110
77	#FFFFFF	110
78	#FFFFFF	110
79	#FFFFFF	110
80	#FFFFFF	110
81	#FFFFFF	110
82	#FFFFFF	110
83	#FFFFFF	536
84	#FFFFFF	536
85	#FFFFFF	536
86	#FFFFFF	608
