group	label	showSelected1
1	Cluster 7: 445/830 pixels shown, logFC -1.1 to 1.2, log10(p) 0.0 to 5.0	7
1	Cluster 39: 187/187 pixels shown, logFC -0.5 to 0.4, log10(p) 0.0 to 3.3	39
1	Cluster 107: 79/224 pixels shown, logFC -0.4 to 0.2, log10(p) 0.0 to 4.5	107
1	Cluster 157: 156/3082 pixels shown, logFC -2.2 to 1.8, log10(p) 0.0 to 3.6	157
1	Cluster 239: 61/61 pixels shown, logFC -0.3 to 0.1, log10(p) 0.0 to 3.4	239
1	Cluster 284: 461/682 pixels shown, logFC -1.0 to 0.7, log10(p) 0.0 to 4.3	284
1	Cluster 507: 88/88 pixels shown, logFC -0.7 to 0.5, log10(p) 0.0 to 4.9	507
1	Cluster 509: 29/29 pixels shown, logFC -4.7 to 0.7, log10(p) 0.0 to 2.3	509
1	Cluster 520: 35/160 pixels shown, logFC -0.7 to 0.2, log10(p) 0.0 to 4.6	520
1	Cluster 572: 83/83 pixels shown, logFC -0.3 to 0.0, log10(p) 0.1 to 4.0	572
1	Cluster 578: 16/28 pixels shown, logFC -0.3 to -0.0, log10(p) 0.3 to 4.2	578
